0	0.12235	0.747092	1.58187	0.130558	0.559846
0.05	0.122972	0.751616	1.5939	0.125412	0.55576
0.1	0.124678	0.7555	1.60589	0.119822	0.524605
0.15	0.124842	0.76166	1.61502	0.113498	0.494773
0.2	0.126058	0.766114	1.62491	0.107828	0.472349
0.25	0.126978	0.771668	1.6399	0.101354	3645.18
0.3	0.126766	0.777438	1.64805	0.095796	0.419851
0.35	0.128786	0.782902	1.65857	0.088312	68.677
0.4	0.128448	0.789006	1.672	0.082546	0.352928
0.45	0.12896	0.794038	1.68659	0.077002	21.3214
0.5	0.13086	0.799216	1.69232	0.069924	2.19976
0.55	0.131702	0.805296	1.70497	0.063002	97.4817
0.6	0.131886	0.811666	1.72231	0.056448	0.249091
0.65	0.13292	0.817424	1.72877	0.049656	1372.58
0.7	0.133724	0.822806	1.7404	0.04347	10.0217
0.75	0.135214	0.828622	1.75708	0.036164	0.158211
0.8	0.135952	0.835148	1.76941	0.0289	0.120996
0.85	0.13714	0.840942	1.78503	0.021918	0.0952965
0.9	0.138834	0.84654	1.79791	0.014626	0.0623615
