0	0.099495	0.777591	1.77193	0.122914	0.598089
0.05	0.099313	0.78508	1.78832	0.115607	0.550629
0.1	0.099865	0.790267	1.79249	0.109868	0.517466
0.15	0.099935	0.796167	1.80774	0.103898	0.48963
0.2	0.099953	0.801591	1.81529	0.098456	0.467666
0.25	0.100529	0.806474	1.81966	0.092997	0.44319
0.3	0.100672	0.812694	1.83658	0.086634	0.411288
0.35	0.100935	0.81825	1.84401	0.080815	0.391295
0.4	0.101867	0.823899	1.85625	0.074234	0.349274
0.45	0.101762	0.829858	1.86788	0.06838	0.321192
0.5	0.101753	0.83559	1.87831	0.062657	0.295876
0.55	0.1023	0.841587	1.88732	0.056113	0.265344
0.6	0.102657	0.847225	1.89716	0.050118	0.237991
0.65	0.102505	0.853317	1.91363	0.044178	0.209557
0.7	0.103466	0.859442	1.92425	0.037092	0.174076
0.75	0.103714	0.864672	1.92936	0.031614	0.147972
0.8	0.104018	0.870596	1.94088	0.025386	0.117189
0.85	0.103931	0.877133	1.96064	0.018936	0.0937809
0.9	0.10446	0.883011	1.96607	0.012529	0.0563364
0.95	0.104861	0.888673	1.97925	0.006466	0.0302536
1	0.105011	0.894989	1.98655	0	0
