	0.55	0.633	0.694	0.86	1.06
34	2.2973E-01	2.2891E-01	2.2797E-01	2.2461E-01	2.1903E-01
35	2.1914E-01	2.1848E-01	2.1770E-01	2.1465E-01	2.0955E-01
36	2.0894E-01	2.0847E-01	2.0785E-01	2.0511E-01	2.0049E-01
37	1.9915E-01	1.9898E-01	1.9850E-01	1.9600E-01	1.9182E-01
38	1.8993E-01	1.8990E-01	1.8955E-01	1.8728E-01	1.8352E-01
39	1.8120E-01	1.8127E-01	1.8103E-01	1.7898E-01	1.7561E-01
40	1.7290E-01	1.7308E-01	1.7292E-01	1.7109E-01	1.6806E-01
41	1.6499E-01	1.6527E-01	1.6519E-01	1.6355E-01	1.6085E-01
42	1.5745E-01	1.5783E-01	1.5783E-01	1.5638E-01	1.5396E-01
43	1.5029E-01	1.5076E-01	1.5082E-01	1.4952E-01	1.4739E-01
44	1.4347E-01	1.4402E-01	1.4414E-01	1.4297E-01	1.4111E-01
45	1.3696E-01	1.3759E-01	1.3778E-01	1.3672E-01	1.3509E-01
46	1.3080E-01	1.3148E-01	1.3171E-01	1.3078E-01	1.2937E-01
47	1.2497E-01	1.2566E-01	1.2593E-01	1.2511E-01	1.2387E-01
48	1.1938E-01	1.2012E-01	1.2042E-01	1.1970E-01	1.1863E-01
49	1.1408E-01	1.1483E-01	1.1516E-01	1.1453E-01	1.1364E-01
50	1.0902E-01	1.0980E-01	1.1016E-01	1.0964E-01	1.0889E-01
51	1.0423E-01	1.0504E-01	1.0542E-01	1.0496E-01	1.0433E-01
52	9.9675E-02	1.0050E-01	1.0089E-01	1.0049E-01	9.9977E-02
53	9.5333E-02	9.6173E-02	9.6579E-02	9.6235E-02	9.5818E-02
54	9.1205E-02	9.2060E-02	9.2487E-02	9.2181E-02	9.1876E-02
55	8.7299E-02	8.8144E-02	8.8573E-02	8.8324E-02	8.8110E-02
56	8.3571E-02	8.4416E-02	8.4849E-02	8.4638E-02	8.4505E-02
57	7.9998E-02	8.0846E-02	8.1295E-02	8.1122E-02	8.1067E-02
58	7.6624E-02	7.7467E-02	7.7909E-02	7.7777E-02	7.7789E-02
59	7.3416E-02	7.4252E-02	7.4687E-02	7.4588E-02	7.4662E-02
60	7.0364E-02	7.1178E-02	7.1623E-02	7.1550E-02	7.1672E-02
61	6.7436E-02	6.8259E-02	6.8707E-02	6.8656E-02	6.8837E-02
62	6.4688E-02	6.5501E-02	6.5932E-02	6.5903E-02	6.6108E-02
63	6.2063E-02	6.2858E-02	6.3298E-02	6.3280E-02	6.3519E-02
64	5.9560E-02	6.0342E-02	6.0781E-02	6.0779E-02	6.1046E-02
65	5.7174E-02	5.7946E-02	5.8380E-02	5.8395E-02	5.8686E-02
66	5.4907E-02	5.5668E-02	5.6092E-02	5.6120E-02	5.6436E-02
67	5.2747E-02	5.3491E-02	5.3911E-02	5.3945E-02	5.4287E-02
68	5.0696E-02	5.1422E-02	5.1833E-02	5.1881E-02	5.2236E-02
69	4.8745E-02	4.9455E-02	4.9858E-02	4.9911E-02	5.0299E-02
70	4.6887E-02	4.7584E-02	4.7978E-02	4.8036E-02	4.8442E-02
71	4.5119E-02	4.5800E-02	4.6188E-02	4.6252E-02	4.6666E-02
72	4.3437E-02	4.4100E-02	4.4485E-02	4.4552E-02	4.4970E-02
73	4.1837E-02	4.2485E-02	4.2862E-02	4.2933E-02	4.3338E-02
74	4.0312E-02	4.0948E-02	4.1315E-02	4.1390E-02	4.1800E-02
75	3.8860E-02	3.9480E-02	3.9840E-02	3.9920E-02	4.0335E-02
76	3.7475E-02	3.8082E-02	3.8435E-02	3.8518E-02	3.8936E-02
77	3.6157E-02	3.6750E-02	3.7094E-02	3.7181E-02	3.7601E-02
78	3.4907E-02	3.5483E-02	3.5821E-02	3.5912E-02	3.6331E-02
79	3.3717E-02	3.4280E-02	3.4608E-02	3.4696E-02	3.5121E-02
80	3.2585E-02	3.3135E-02	3.3455E-02	3.3541E-02	3.3962E-02
81	3.1505E-02	3.2044E-02	3.2357E-02	3.2442E-02	3.2863E-02
82	3.0477E-02	3.1004E-02	3.1313E-02	3.1397E-02	3.1815E-02
83	2.9500E-02	3.0016E-02	3.0319E-02	3.0403E-02	3.0818E-02
84	2.8570E-02	2.9077E-02	2.9374E-02	2.9458E-02	2.9871E-02
85	2.7689E-02	2.8184E-02	2.8475E-02	2.8559E-02	2.8969E-02
86	2.6850E-02	2.7334E-02	2.7619E-02	2.7704E-02	2.8111E-02
87	2.6054E-02	2.6527E-02	2.6805E-02	2.6891E-02	2.7293E-02
88	2.5297E-02	2.5757E-02	2.6030E-02	2.6118E-02	2.6516E-02
89	2.4575E-02	2.5026E-02	2.5294E-02	2.5382E-02	2.5777E-02
90	2.3889E-02	2.4331E-02	2.4594E-02	2.4677E-02	2.5075E-02
91	2.3237E-02	2.3672E-02	2.3930E-02	2.4014E-02	2.4407E-02
92	2.2621E-02	2.3048E-02	2.3302E-02	2.3384E-02	2.3775E-02
93	2.2037E-02	2.2456E-02	2.2705E-02	2.2793E-02	2.3174E-02
94	2.1483E-02	2.1896E-02	2.2140E-02	2.2227E-02	2.2605E-02
95	2.0956E-02	2.1362E-02	2.1603E-02	2.1691E-02	2.2068E-02
96	2.0457E-02	2.0857E-02	2.1093E-02	2.1183E-02	2.1558E-02
97	1.9984E-02	2.0377E-02	2.0611E-02	2.0703E-02	2.1075E-02
98	1.9537E-02	1.9925E-02	2.0156E-02	2.0249E-02	2.0620E-02
99	1.9116E-02	1.9500E-02	1.9726E-02	1.9820E-02	2.0189E-02
100	1.8720E-02	1.9098E-02	1.9321E-02	1.9417E-02	1.9783E-02
101	1.8344E-02	1.8719E-02	1.8939E-02	1.9036E-02	1.9399E-02
102	1.7991E-02	1.8359E-02	1.8578E-02	1.8676E-02	1.9038E-02
103	1.7658E-02	1.8021E-02	1.8240E-02	1.8338E-02	1.8699E-02
104	1.7344E-02	1.7704E-02	1.7922E-02	1.8021E-02	1.8380E-02
105	1.7051E-02	1.7407E-02	1.7622E-02	1.7723E-02	1.8081E-02
106	1.6776E-02	1.7131E-02	1.7341E-02	1.7445E-02	1.7801E-02
107	1.6519E-02	1.6871E-02	1.7079E-02	1.7184E-02	1.7540E-02
108	1.6279E-02	1.6629E-02	1.6835E-02	1.6941E-02	1.7296E-02
109	1.6056E-02	1.6404E-02	1.6609E-02	1.6715E-02	1.7069E-02
110	1.5849E-02	1.6194E-02	1.6399E-02	1.6506E-02	1.6859E-02
111	1.5658E-02	1.6002E-02	1.6205E-02	1.6313E-02	1.6666E-02
112	1.5482E-02	1.5825E-02	1.6027E-02	1.6136E-02	1.6486E-02
113	1.5322E-02	1.5662E-02	1.5863E-02	1.5972E-02	1.6322E-02
